43535|4|7
48061|6|6
35179|9|14
34329|2|2
38871|13|14
58501|1|4
62003|6|6
50145|10|13
53407|8|8
42228|0|1
46498|2|4
33616|2|5
36878|7|7
57788|6|6
65386|2|7
52248|5|12
56790|5|9
44121|2|14
48407|5|9
35525|1|13
39027|3|7
59681|12|12
59103|5|12
63373|1|1
50491|11|11
53993|4|13
43152|8|12
42574|0|0
47100|0|0
33962|11|14
37464|0|0
58134|3|3
61636|1|8
52850|3|12
57120|0|0
41395|3|6
48993|1|2
35871|5|5
40397|4|5
60283|7|7
63529|4|8
51687|9|9
50837|5|5
54339|2|7
43754|0|0
48024|0|0
35158|7|7
34308|6|6
38834|0|0
58720|0|2
61982|6|6
50124|10|13
53626|0|0
41741|10|12
45243|6|6
36457|1|1
40743|3|4
60629|5|9
64899|2|4
52017|1|3
55535|4|4
44100|3|5
48626|3|3
35488|1|1
39006|5|8
59660|4|4
59066|0|2
62568|0|2
50470|3|12
53972|0|1
42343|9|14
45589|1|6
33731|10|10
37233|1|2
60975|6|6
65501|1|1
52363|4|5
55865|6|6
41374|6|10
48972|5|5
36090|12|14
40360|0|0
60262|3|12
63508|0|0
51650|0|5
51056|2|2
54318|7|8
43267|2|2
42673|1|2
46191|4|8
34077|11|13
37579|2|2
57465|7|8
61751|3|7
52965|1|4
57235|13|13
41960|0|1
45222|3|10
36436|14|14
40706|2|7
60592|0|1
64110|0|0
51996|0|1
55498|0|0
54904|7|7
43869|7|7
47115|4|4
35257|9|13
34679|11|12
37925|1|3
58835|2|2
62081|1|3
49215|6|6
53741|1|4
42306|0|5
45808|0|2
33710|10|14
37212|5|14
60938|4|7
65464|0|0
52598|12|12
55844|0|1
44215|3|6
47717|1|1
35603|3|3
39105|13|13
38527|8|8
59181|1|4
62683|2|2
50569|5|5
54087|4|4
43502|9|9
42652|0|1
46154|0|2
34296|11|14
37558|3|6
57444|10|12
61714|7|7
52928|1|3
56446|7|7
44545|1|6
49087|6|6
36205|7|7
39451|5|8
60361|10|10
63623|3|5
63029|6|11
51171|2|2
54417|5|5
43832|0|1
47350|9|9
35236|0|1
34642|3|12
37888|0|2
58814|6|11
62316|4|7
49178|0|9
53704|0|1
41051|2|5
45321|2|11
36551|4|4
40053|7|9
60707|7|7
64209|2|2
52111|4|5
55613|7|7
55019|4|8
44178|0|14
47680|7|8
35838|12|13
39084|4|8
38490|2|5
59144|2|7
62662|3|3
49780|11|13
54050|0|2
42421|1|6
45923|2|11
32785|6|6
